PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2000,94.35,94.18,94.11,93.9,93.92,93.71,93.76,93.81,93.98,94.1,94.3,94.41,94.04
PS,2001,94.3,94.22,94.14,94.04,93.89,93.78,93.85,93.92,93.97,94.09,94.36,94.64,94.1
PS,2002,94.41,94.49,94.18,93.97,93.92,93.8,93.99,93.92,94.12,94.14,94.35,94.51,94.15
PS,2003,94.54,94.32,94.2,94.04,93.91,93.78,93.83,93.93,94.04,94.14,94.44,94.52,94.14
PS,2004,94.4,94.38,94.18,94.04,93.86,93.93,93.84,93.96,94.05,94.32,94.44,94.47,94.15
PS,2005,94.37,94.41,94.25,94.18,93.94,93.74,93.83,93.96,93.94,94.14,94.4,94.38,94.13
PS,2006,94.46,94.4,94.16,93.99,93.86,93.84,93.87,93.93,93.98,94.32,94.37,94.54,94.14
PS,2007,94.56,94.34,94.18,94.07,93.94,93.68,93.78,93.86,93.84,94.13,94.37,94.4,94.1
PS,2008,94.37,94.3,94.12,94.03,93.96,93.85,93.78,93.87,93.98,94.2,94.27,94.45,94.1
PS,2009,94.49,94.29,94.16,93.99,93.85,93.88,93.82,93.94,93.99,94.23,94.28,94.46,94.12
PS,2010,94.54,94.36,94.27,94.12,93.84,93.85,93.84,93.84,93.97,94.01,94.19,94.19,94.08
PS,2011,94.33,94.26,94.15,94.06,93.96,93.8,93.79,93.82,93.99,94.16,94.3,94.34,94.08
PS,2012,94.35,94.23,94.17,94.03,93.91,93.86,93.78,93.92,94.03,94.23,94.28,94.35,94.1
PS,2013,94.46,94.36,94.23,94.02,93.9,93.75,93.75,93.92,93.96,94.13,94.36,94.41,94.1
PS,2014,94.52,94.28,94.32,94.16,93.99,93.85,93.89,93.92,94.08,94.29,94.4,94.44,94.18
PS,2015,94.52,94.43,94.37,94.16,94.02,93.88,93.97,94.05,94.09,94.34,94.35,94.52,94.23
PS,2016,94.53,94.41,94.29,94.05,93.95,93.89,93.89,93.94,94.04,94.2,94.38,94.43,94.17
PS,2017,94.47,94.46,94.2,94.06,93.97,93.89,93.95,93.88,94.02,94.12,94.3,94.45,94.15
PS,2018,94.35,94.42,94.23,94.04,93.93,93.83,93.83,93.95,94.13,94.29,94.41,94.47,94.16
PS,2019,94.56,94.44,94.26,94.08,93.98,93.84,93.86,93.91,94.05,94.23,94.38,94.46,94.17
PS,2020,94.44,94.44,94.23,94.19,93.95,93.81,93.8,93.84,93.89,94.01,94.42,94.43,94.12
T2M,2000,23.61,25.14,28.15,31.22,28.47,24.9,24.04,24.1,24.99,24.38,23.26,21.8,25.33
T2M,2001,23.76,26.01,28.61,30.57,29.98,25.82,25.03,24.48,25.3,23.33,23.13,21.61,25.62
T2M,2002,23.04,25.83,29.01,32.19,29.65,26.08,25.94,24.72,25.77,25.51,24.12,22.94,26.23
T2M,2003,23.89,26.9,29.3,30.87,31.58,27.18,25.31,25.43,25.63,25.02,23.69,22.48,26.43
T2M,2004,23.07,25.28,29.36,30.96,27.35,25.33,24.65,24.47,24.45,24.46,23.81,22.1,25.44
T2M,2005,24.19,26.65,28.84,28.96,29.89,25.78,24.48,23.98,24.08,23.47,20.07,20.85,25.09
T2M,2006,22.38,24.75,28.08,30.9,29.61,25.44,24.43,24.12,24.98,24.38,22.86,21.19,25.26
T2M,2007,22.81,24.88,29.63,30.89,29.34,25.94,24.62,24.0,23.99,23.15,20.87,21.98,25.18
T2M,2008,22.44,25.04,25.99,27.9,28.76,25.38,25.31,24.52,24.34,24.62,23.52,21.42,24.94
T2M,2009,22.92,26.44,29.43,30.83,29.15,25.72,24.51,24.87,24.83,23.32,23.02,22.19,25.59
T2M,2010,22.5,26.94,30.0,31.12,30.29,26.68,24.59,24.33,24.22,23.95,22.81,20.47,25.64
T2M,2011,21.66,24.27,28.9,28.98,29.37,25.87,24.85,24.4,24.56,25.23,23.94,23.18,25.44
T2M,2012,23.19,26.07,28.64,30.09,29.76,26.25,25.14,24.72,25.05,24.48,22.9,23.29,25.8
T2M,2013,23.94,25.9,29.33,30.4,28.37,25.17,24.39,24.62,24.19,24.1,22.91,21.87,25.43
T2M,2014,23.5,25.1,27.98,30.23,28.9,27.29,25.21,24.59,24.32,24.19,22.28,21.61,25.43
T2M,2015,21.99,24.44,27.64,29.84,29.64,25.93,25.85,25.26,24.57,24.95,24.44,24.58,25.76
T2M,2016,23.55,27.54,30.1,31.94,30.55,25.83,24.65,24.51,23.94,24.05,23.43,22.7,26.05
T2M,2017,23.03,25.26,28.37,31.52,30.58,26.19,25.16,25.08,25.01,23.76,22.36,21.87,25.68
T2M,2018,22.78,24.99,28.19,30.91,29.06,24.96,24.65,24.32,24.91,25.38,25.03,23.45,25.72
T2M,2019,22.25,26.21,29.42,31.26,31.35,27.43,24.9,24.34,24.24,23.96,22.81,22.66,25.9
T2M,2020,23.48,25.76,29.15,29.73,30.02,26.06,24.58,24.21,23.9,23.56,22.08,21.04,25.3
QV2M,2000,6.84,8.73,6.65,10.56,14.28,16.36,15.81,15.81,15.93,14.34,11.29,7.63,12.02
QV2M,2001,7.02,4.88,7.93,11.66,12.88,15.14,15.44,15.69,15.44,15.01,12.82,9.4,11.96
QV2M,2002,8.18,7.69,7.32,10.56,14.47,16.6,15.5,15.69,14.71,14.71,10.74,7.93,12.02
QV2M,2003,7.93,8.3,9.09,11.96,12.33,15.5,16.17,15.81,15.08,14.83,11.54,8.24,12.27
QV2M,2004,7.87,6.53,7.2,11.29,15.75,16.3,15.93,15.69,15.87,14.28,10.86,7.26,12.08
QV2M,2005,7.93,7.14,7.26,12.82,13.43,16.97,17.03,16.72,16.85,15.81,11.29,9.95,12.82
QV2M,2006,7.63,5.55,9.03,10.5,13.98,16.72,16.24,15.81,16.3,14.95,14.1,9.95,12.63
QV2M,2007,7.32,7.39,8.73,11.54,14.4,16.72,16.85,16.66,16.91,14.95,11.6,10.44,12.82
QV2M,2008,6.9,8.73,10.8,13.06,13.37,16.05,15.99,16.17,15.93,13.98,11.23,10.19,12.7
QV2M,2009,7.69,6.71,8.36,11.17,14.04,16.17,16.11,16.36,16.72,14.59,14.34,12.02,12.88
QV2M,2010,10.86,8.79,8.06,11.6,14.95,16.3,16.17,16.78,16.72,16.11,15.44,11.17,13.61
QV2M,2011,8.24,7.81,7.45,11.96,13.73,15.87,15.69,16.17,15.75,15.2,11.05,8.54,12.33
QV2M,2012,7.08,6.41,6.65,12.39,13.37,15.01,15.81,15.81,15.5,13.61,12.63,10.19,12.02
QV2M,2013,7.51,8.18,8.67,10.8,15.26,16.48,16.05,15.81,16.36,15.38,11.9,7.87,12.57
QV2M,2014,8.73,8.24,8.85,11.29,14.89,16.36,16.05,16.42,16.42,14.65,11.54,10.5,12.88
QV2M,2015,7.39,6.41,9.64,11.23,14.59,16.05,15.93,16.24,16.42,14.59,13.0,9.77,12.63
QV2M,2016,7.93,8.54,8.79,11.41,14.22,16.11,16.48,16.24,15.5,12.7,8.24,7.26,11.96
QV2M,2017,6.84,5.55,7.81,9.58,13.79,16.05,16.17,16.17,16.72,15.93,12.21,9.52,12.21
QV2M,2018,6.71,5.86,8.06,10.99,14.95,17.03,16.17,15.69,14.95,12.82,10.01,8.79,11.84
QV2M,2019,6.29,7.08,7.75,10.86,12.15,16.17,16.91,16.91,16.85,16.66,14.71,13.31,13.0
QV2M,2020,10.68,8.42,9.16,12.76,15.5,16.3,16.78,17.21,17.09,16.54,14.59,11.9,13.92
PRECTOTCORR,2000,0.07,0.39,0.0,0.24,1.9,5.74,3.55,3.07,3.36,2.62,0.19,0.11,1.77
PRECTOTCORR,2001,0.0,0.0,0.0,1.03,0.37,1.52,2.92,2.38,2.68,4.32,0.39,0.05,1.32
PRECTOTCORR,2002,0.01,0.1,0.02,0.47,1.16,2.23,1.08,4.35,1.15,3.13,0.11,0.0,1.16
PRECTOTCORR,2003,0.0,0.37,0.81,1.37,0.39,1.85,1.29,1.85,1.07,3.93,0.04,0.3,1.11
PRECTOTCORR,2004,0.02,0.01,0.19,0.79,3.92,2.47,2.96,2.45,4.29,1.27,0.14,0.0,1.55
PRECTOTCORR,2005,0.07,0.01,0.07,2.27,2.33,4.66,8.81,3.22,3.95,3.45,0.27,0.01,2.44
PRECTOTCORR,2006,0.0,0.0,0.62,0.7,2.92,5.9,3.17,2.22,3.23,2.46,2.95,0.0,2.02
PRECTOTCORR,2007,0.0,0.0,0.08,1.25,2.21,5.83,5.72,3.3,8.51,1.64,0.44,0.06,2.42
PRECTOTCORR,2008,0.0,0.24,5.02,0.71,2.63,1.79,2.92,3.67,2.9,1.7,2.65,0.02,2.03
PRECTOTCORR,2009,0.0,0.0,0.23,1.15,1.98,3.81,3.75,3.76,6.43,2.78,1.69,1.21,2.24
PRECTOTCORR,2010,0.23,0.0,0.02,0.55,2.01,3.34,4.91,5.74,4.37,2.2,4.66,0.04,2.35
PRECTOTCORR,2011,0.0,0.06,0.0,1.69,1.46,2.05,3.11,5.12,1.53,2.37,0.27,0.0,1.48
PRECTOTCORR,2012,0.0,0.0,0.0,1.57,1.69,2.01,2.14,2.42,3.31,1.56,2.65,0.0,1.44
PRECTOTCORR,2013,0.01,0.19,0.12,1.36,3.64,2.9,2.9,1.7,5.4,2.34,0.09,0.0,1.72
PRECTOTCORR,2014,0.0,0.15,0.68,1.37,2.8,1.62,4.52,6.12,2.19,3.08,1.02,0.59,2.03
PRECTOTCORR,2015,0.01,0.03,0.79,1.06,2.19,2.62,1.18,6.54,2.96,1.62,0.48,0.03,1.64
PRECTOTCORR,2016,0.02,0.0,0.09,0.79,1.94,3.6,4.93,2.43,2.91,0.6,0.21,0.18,1.48
PRECTOTCORR,2017,0.0,0.0,0.32,0.2,1.07,3.22,2.59,3.4,6.43,3.43,0.05,0.09,1.74
PRECTOTCORR,2018,0.08,0.1,0.43,1.1,4.18,4.28,1.95,1.97,3.76,1.03,0.18,0.06,1.6
PRECTOTCORR,2019,0.01,0.01,0.32,1.1,0.91,3.7,3.93,6.85,4.27,7.28,0.82,0.15,2.47
PRECTOTCORR,2020,0.06,0.04,0.19,3.25,2.76,2.88,8.51,5.11,7.49,5.59,0.16,0.06,3.02
